,Common Name,Scientific Name,Sow Start,Sow End,Seed Start,Seed End ,Harvest Start,Harvest End
Fruit,Apricot,Prunus armeniaca,,,,,,
Fruit,Alexander apple,,,,,,,
Fruit,Buartnut,,,,,,,
Fruit,Butternut,Juglans cinerea,,,,,,
Fruit,Ewing blue plum,,,,,,,
Fruit,Nova pear,,,,,,,
Fruit,Railroad apple,,,,,,,
Fruit,Summercrisp pear,,,,,,,
Fruit,Trent apple,,,,,,,
Fruit,Harrow Delight pear,,,,,,,
Fruit,Honeycrisp apple,,,,,,,
Fruit,Native pawpaw trees,,,,,,,
Fruit,Pink Lady apple,,,,,,,
Fruit,Snow Beauty peach,,,,,,,
Fruit,Superior plum,,,,,,,
Fruit,Warren pear,,,,,,,
Fruit,Jefferson,,,,,,,
Fruit,Late Crawford,,,,,,,
Fruit,Loring,,,,,,,
Fruit,Madison,,,,,,,
Fruit,Nectar,,,,,,,
Fruit,Red Globe,,,,,,,
Fruit,Bing cherry,,,,,,,
Fruit,Blue Java banana,,,,,,,
Fruit,Contender peach,,,,,,,
Fruit,Cortland apple,,,,,,,
Fruit,Fuji apple,,,,,,,
Fruit,Fuyu persimmon,,,,,,,
Fruit,Granny Smith apple,,,,,,,
Fruit,Moorpark apricot,,,,,,,
Fruit,Ozark plum,,,,,,,
Fruit,Parker pear,,,,,,,
Fruit,Rainier Sweet cherry,,,,,,,
Fruit,Red Gold nectarine,,,,,,,
Fruit,Scout apricot,,,,,,,
Fruit,Stella cherry,,,,,,,
Fruit,Turkey fig,,,,,,,
Fruit,Abacá banana,,,,,,,
Fruit,Alma fig,,,,,,,
Fruit,Anna apple,,,,,,,
Fruit,Bronze banana,,,,,,,
Fruit,Bryan apricot,,,,,,,
Fruit,Clementine tangerine,,,,,,,
Fruit,Darjeeling banana,,,,,,,
Fruit,Gala apple,,,,,,,
Fruit,Jujube varieties,,,,,,,
Fruit,Kumquat and Limequat varieties,,,,,,,
Fruit,Marsh grapefruit,,,,,,,
Fruit,Meyer lemon,,,,,,,
Fruit,Montmorency cherry,,,,,,,
Fruit,Multiple varieties of peaches and plums,,,,,,,
Fruit,Ruby grapefruit,,,,,,,
Fruit,Washington orange,,,,,,,
Fruit,Avocado,,,,,,,
Fruit,Calamondin,,,,,,,
Fruit,Giant pumelo,,,,,,,
Fruit,Hardy kiwi,,,,,,,
Fruit,Mandarin orange,,,,,,,
Fruit,Olives,,,,,,,
Fruit,Passionfruit,,,,,,,
Fruit,Starfruit,,,,,,,
Fruit,Trifoliate orange,,,,,,,
Fruit,Allspice tree,,,,,,,
Fruit,Apple guava,,,,,,,
Fruit,Carica papaya,,,,,,,
Fruit,Dwarf Cavendish banana,,,,,,,
Fruit,Jackfruit tree,,,,,,,
Fruit,June plum,,,,,,,
Fruit,Soursop tree,,,,,,,
Fruit,Jaboticaba,,,,,,,
Fruit,Macadamia,,,,,,,
Fruit,Mango,,,,,,,
Fruit,Moringa tree,,,,,,,
Fruit,Natal plum,,,,,,,
Fruit,Sea grape,,,,,,,
Fruit,African apricot,,,,,,,
Fruit,African breadfruit,,,,,,,
Fruit,Ackee,,,,,,,
Fruit,Alupag,,,,,,,
Fruit,Amazon tree-grape,,,,,,,
Fruit,Bacuri cascudo,,,,,,,
Fruit,Bignay,,,,,,,
Fruit,Black pepper,,,,,,,
Fruit,Imbe,,,,,,,
Fruit,Java Olive,,,,,,,
Fruit,Tropical almond,,,,,,,
Fruit,African apricot,,,,,,,
Fruit,African breadfruit,,,,,,,
Fruit,Ackee,,,,,,,
Fruit,Alupag,,,,,,,
Fruit,Amazon tree-grape,,,,,,,
Fruit,Bacuri cascudo,,,,,,,
Fruit,Bignay,,,,,,,
Fruit,Black pepper,,,,,,,
Fruit,Imbe,,,,,,,
Fruit,Java Olive,,,,,,,
Fruit,Tropical almond,,,,,,,
Fruit,Zucchini,Cucurbita pepo var. cylindrica,,,,,,
Fruit,,,,,,,,
Fruit,,,,,,,,
Fruit,,,,,,,,
Fruit,,,,,,,,
Fruit,,,,,,,,
Flowers,Arrowhead,,,,,,,
Flowers,Delphinium,,,,,,,
Flowers,Goldenrod,,,,,,,
Flowers,Sunflower,,,,,,,
Flowers,Lily of the Valley,,,,,,,
Flowers,Oxeye Daisy,,,,,,,
Flowers,Yarrow,,,,,,,
Flowers,Bleeding Heart,,,,,,,
Flowers,Monkshood,,,,,,,
Flowers,Penstemon,,,,,,,
Flowers,Poppy,,,,,,,
Flowers,Primrose,,,,,,,
Flowers,Sea Holly,,,,,,,
Flowers,Violet,,,,,,,
Flowers,Alpine Rockcress,,,,,,,
Flowers,Aster,,,,,,,
Flowers,Blanket Flower,,,,,,,
Flowers,Liatris varieties,,,,,,,
Flowers,Salvia,,,,,,,
Flowers,Snow-in-Summer,,,,,,,
Flowers,Spurge,,,,,,,
Flowers,Virginia Bluebells,,,,,,,
Flowers,Wallflower,,,,,,,
Flowers,Coneflower,,,,,,,
Flowers,Daylily,,,,,,,
Flowers,Iris,,,,,,,
Flowers,Phlox,,,,,,,
Flowers,Plantain lily (Hostas),,,,,,,
Flowers,Baptisia,,,,,,,
Flowers,Black-eyed Susan,,,,,,,
Flowers,Campanula,,,,,,,
Flowers,Cinquefoil,,,,,,,
Flowers,Russian Sage,,,,,,,
Flowers,False sunflower,,,,,,,
Flowers,Floribunda rose,,,,,,,
Flowers,Flowering fern,,,,,,,
Flowers,Japanese Bottlebrush,,,,,,,
Flowers,Lady’s Mantle,,,,,,,
Flowers,Sedum,,,,,,,
Flowers,Butterfly weed,,,,,,,
Flowers,Candytuft,,,,,,,
Flowers,Chrysanthemum,,,,,,,
Flowers,Clematis,,,,,,,
Flowers,Forget-me-not,,,,,,,
Flowers,Four O’clock,,,,,,,
Flowers,Painted daisy,,,,,,,
Flowers,Peony,,,,,,,
Flowers,Asiatic lily,,,,,,,
Flowers,Hardy geranium,,,,,,,
Flowers,Lantana,,,,,,,
Flowers,Mexican petunia,,,,,,,
Flowers,Phlox,,,,,,,
Flowers,Black-eyed Susan,,,,,,,
Flowers,Canna,,,,,,,
Flowers,Dahlia,,,,,,,
Flowers,Hydrangea,,,,,,,
Flowers,Rhododendrons,,,,,,,
Flowers,Wisteria,,,,,,,
Flowers,Zinnia,,,,,,,
Flowers,Aeoniums,,,,,,,
Flowers,Agave,,,,,,,
Flowers,African lily,,,,,,,
Flowers,Delta maidenhair fern,,,,,,,
Flowers,Floss flower,,,,,,,
Flowers,Geraniums,,,,,,,
Flowers,Hummingbird mint,,,,,,,
Flowers,Ornamental onion,,,,,,,
Flowers,Peruvian lily,,,,,,,
Flowers,Various aloes,,,,,,,
Flowers,Anemone coronaria,,,,,,,
Flowers,Begonias,,,,,,,
Flowers,Bougainvillea,,,,,,,
Flowers,Drumstick allium,,,,,,,
Flowers,Kangaroo paw,,,,,,,
Flowers,Ponytail palm,,,,,,,
Flowers,Musaceae,,,,,,,
Flowers,Strelitziaceae,,,,,,,
Flowers,Heliconia,,,,,,,
Flowers,Zingiberaceae,,,,,,,
Flowers,Costaceae,,,,,,,
Flowers,Cannaceae,,,,,,,
Flowers,Marantaceae,,,,,,,
Flowers,Lowiaceae,,,,,,,
Flowers,Musaceae,,,,,,,
Flowers,Strelitziaceae,,,,,,,
Flowers,Heliconia,,,,,,,
Flowers,Zingiberaceae,,,,,,,
Flowers,Costaceae,,,,,,,
Flowers,Cannaceae,,,,,,,
Flowers,Marantaceae,,,,,,,
Flowers,Lowiaceae,,,,,,,
